Dream,Title,Sentiment,Sentiment_Score,Emotion,Word_Count,Season,Dominant_Activity,Cluster,Cluster_Name,Lucid,Date,Symbols,Anxiety_Category
I was driving a vehicle down a steep winding mountain path but the brakes completely stopped working.,Vehicular Brake Failure on Mountain,Negative,-0.69,Sadness,17,Fall,Running,0,Performance Anxiety,No,2025-08-01,"trains, car, brakes, mountain, speed",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.94,Surprise,16,Summer,Talking,2,Relational Connection,No,2025-08-01,"coffee, talking, celebrity, friend",Social Isolation
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.86,Fear,21,Spring,Observing,1,Existential Transformation,Yes,2025-08-01,"room, crying, lost, death, empty",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.3,Anger,23,Winter,Running,0,Performance Anxiety,No,2025-08-01,"exam, schools, maze, late, corridors",Career Uncertainty
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Neutral,0.24,Neutral,21,Fall,Falling,3,Flight & Escape,No,2025-08-01,"falling, building, skyscraper, heights",Loss of Control
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.75,Sadness,23,Spring,Observing,1,Existential Transformation,No,2025-08-01,"room, crying, lost, death, empty",Social Isolation
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.79,Surprise,16,Summer,Talking,2,Relational Connection,No,2025-08-01,"coffee, talking, celebrity, friend",Social Isolation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.79,Joy,21,Fall,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.46,Fear,19,Winter,Observing,0,Performance Anxiety,Yes,2025-08-01,"exams, schools, test, classroom",Academic Pressure
I was sitting in an empty cold room crying because I lost something incredibly important to me.,Empty Room & Lost Object,Negative,-0.86,Sadness,18,Summer,Observing,1,Existential Transformation,Yes,2025-08-01,"room, crying, lost, death, empty",Social Isolation
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Positive,0.71,Joy,14,Spring,Flying,3,Flight & Escape,No,2025-08-01,"flying, ocean, water, sky",Identity Transformation
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.95,Joy,17,Fall,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Negative,-0.18,Anger,21,Fall,Talking,2,Relational Connection,No,2025-08-01,"coffee, talking, celebrity, friend",Social Isolation
A monster was chasing me through a dark forest. I was terrified and running as fast as I could.,Chased Through Dark Forest,Negative,-0.44,Fear,17,Winter,Running,0,Performance Anxiety,No,2025-08-01,"monster, forest, chased, running, shadow",Loss of Control
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.96,Joy,26,Winter,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Neutral,-0.09,Neutral,15,Winter,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I was falling from a tall glass skyscraper and woke up right before hitting the pavement below.,Falling From Glass Skyscraper,Negative,-0.77,Fear,15,Fall,Falling,3,Flight & Escape,Yes,2025-08-01,"falling, building, skyscraper, heights",Loss of Control
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Positive,0.67,Joy,20,Summer,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I was flying over a vast blue ocean and felt extremely happy and free.,Flying Over Glowing Ocean,Negative,-0.77,Fear,15,Fall,Flying,3,Flight & Escape,No,2025-08-01,"flying, ocean, water, sky",Identity Transformation
I was taking an unexpected final exam in a huge hall but realized I hadn't studied or opened the book once.,Unprepared Final Exam,Negative,-0.38,Fear,19,Summer,Observing,0,Performance Anxiety,No,2025-08-01,"exams, schools, test, classroom",Academic Pressure
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Neutral,0.1,Neutral,24,Summer,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I found myself in a beautiful garden talking peacefully to an old friend I haven't seen in years.,Garden Reunion with Friend,Negative,-0.73,Fear,20,Summer,Talking,2,Relational Connection,No,2025-08-01,"garden, family, partners, talking, flowers",Relationship Instability
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.42,Surprise,17,Spring,Talking,2,Relational Connection,No,2025-08-01,"coffee, talking, celebrity, friend",Social Isolation
I was desperately late for an critical career presentation and kept getting lost in endless maze-like corridors.,Lost in Maze Before Presentation,Negative,-0.49,Anger,22,Spring,Running,0,Performance Anxiety,No,2025-08-01,"exam, schools, maze, late, corridors",Career Uncertainty
I met my favorite artist at an intimate coffee shop and we had a deep philosophical conversation.,Celebrity Coffee Shop Dialogue,Positive,0.62,Surprise,15,Spring,Talking,2,Relational Connection,Yes,2025-08-01,"coffee, talking, celebrity, friend",Social Isolation
